eBird.English.Name.2022,eBird.English.Name.2023,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,Onepercent.Estimates
Besra,Besra,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident & Local Migrant,NA,NA,NA,Besra,Accipiter virgatus,
Eurasian Sparrowhawk,Eurasian Sparrowhawk,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident & Winter Migrant,NA,NA,NA,Eurasian Sparrowhawk,Accipiter nisus,
Northern Goshawk,Eurasian Goshawk,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident & Local Migrant,NA,NA,NA,Northern Goshawk,Accipiter gentilis,
Red Kite,Red Kite,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,Red Kite,Milvus milvus,
Black Kite,Black Kite,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident & Winter Migrant,1,NA,NA,Black Kite,Milvus migrans,
Brahminy Kite,Brahminy Kite,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,1,NA,NA,Brahminy Kite,Haliastur indus,
White-tailed Eagle,White-tailed Eagle,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,White-tailed Sea Eagle,Haliaeetus albicilla,
Pallas's Fish-Eagle,Pallas's Fish-Eagle,High,Uncertain,Uncertain,Very Restricted,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Winter Migrant,1,NA,NA,Pallas's Fish Eagle,Haliaeetus leucoryphus,
White-bellied Sea-Eagle,White-bellied Sea-Eagle,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,White-bellied Sea Eagle,Haliaeetus leucogaster,
Lesser Fish-Eagle,Lesser Fish-Eagle,Moderate,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,1,NA,NA,Lesser Fish Eagle,Haliaeetus humilis,
Gray-headed Fish-Eagle,Gray-headed Fish-Eagle,Moderate,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Grey-headed Fish Eagle,Haliaeetus ichthyaetus,
Rough-legged Hawk,Rough-legged Hawk,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,Rough-legged Buzzard,Buteo lagopus,
Common Buzzard,Common Buzzard,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Winter Migrant,NA,NA,NA,Common Buzzard,Buteo buteo,
Himalayan Buzzard,Himalayan Buzzard,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident & Winter Migrant,NA,NA,NA,Himalayan Buzzard,Buteo refectus,
Long-legged Buzzard,Long-legged Buzzard,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Winter Migrant,NA,NA,NA,Long-legged Buzzard,Buteo rufinus,
Upland Buzzard,Upland Buzzard,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Upland Buzzard,Buteo hemilasius,
Australasian Grass-Owl,Australasian Grass-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,Non-endemic,Grassland,Resident,NA,NA,NA,Eastern Grass Owl,Tyto longimembris,
Barn Owl,Barn Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Common Barn Owl,Tyto alba,
Andaman Masked-Owl,Andaman Masked-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,Yes,Yes,No,Andaman Islands,Non-specialized,Resident,NA,NA,1,Andaman Barn Owl,Tyto deroepstorffi,
Oriental Bay-Owl,Oriental Bay-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Oriental Bay Owl,Phodilus badius,
Sri Lanka Bay-Owl,Sri Lanka Bay-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,Yes,No,Western Ghats & Sri Lanka,Forest,Resident,NA,NA,NA,Sri Lanka Bay Owl,Phodilus assimilis,
Andaman Scops-Owl,Andaman Scops-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,Yes,Yes,No,Andaman Islands,Forest,Resident,NA,NA,1,Andaman Scops Owl,Otus balli,
Mountain Scops-Owl,Mountain Scops-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Mountain Scops Owl,Otus spilocephalus,
Indian Scops-Owl,Indian Scops-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident,NA,NA,NA,Indian Scops Owl,Otus bakkamoena,
Collared Scops-Owl,Collared Scops-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Altitudinal Migrant,NA,NA,NA,Collared Scops Owl,Otus lettia,
Nicobar Scops-Owl,Nicobar Scops-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Omnivore,Yes,Yes,No,Nicobar Islands,Forest,Resident,NA,NA,1,Nicobar Scops Owl,Otus alius,
Eurasian Scops-Owl,Eurasian Scops-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Winter Migrant,NA,1,NA,Eurasian Scops Owl,Otus scops,
Pallid Scops-Owl,Pallid Scops-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Winter Migrant,NA,NA,NA,Pallid Scops Owl,Otus brucei,
Oriental Scops-Owl,Oriental Scops-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Local Migrant,NA,NA,NA,Oriental Scops Owl,Otus sunia,
Eurasian Eagle-Owl,Eurasian Eagle-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,Non-endemic,Alpine & Cold Desert,Resident,NA,NA,NA,Eurasian Eagle Owl,Bubo bubo,
Rock Eagle-Owl,Rock Eagle-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,Yes,No,Indian Subcontinent,Open Habitat,Resident,NA,NA,NA,Indian Eagle Owl,Bubo bengalensis,
Spot-bellied Eagle-Owl,Spot-bellied Eagle-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Spot-bellied Eagle Owl,Ketupa nipalensis,
Dusky Eagle-Owl,Dusky Eagle-Owl,Moderate,Data Deficient,Data Deficient,Moderate,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Dusky Eagle Owl,Ketupa coromandus,
Brown Fish-Owl,Brown Fish-Owl,Low,Stable,Moderate Decline,Large,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Brown Fish Owl,Ketupa zeylonensis,
Tawny Fish-Owl,Tawny Fish-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Tawny Fish Owl,Ketupa flavipes,
Buffy Fish-Owl,Buffy Fish-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Buffy Fish Owl,Ketupa ketupu,
Asian Barred Owlet,Asian Barred Owlet,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Asian Barred Owlet,Glaucidium cuculoides,
Jungle Owlet,Jungle Owlet,Low,Uncertain,Uncertain,Large,24 hour,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident,NA,NA,NA,Jungle Owlet,Glaucidium radiatum,
Collared Owlet,Collared Owlet,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Collared Owlet,Taenioptynx brodiei,
Spotted Owlet,Spotted Owlet,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Spotted Owlet,Athene brama,
Little Owl,Little Owl,NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Alpine & Cold Desert,Resident,NA,NA,NA,Little Owl,Athene noctua,
Forest Owlet,Forest Owlet,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Central India,Forest,Resident,NA,NA,NA,Forest Owlet,Athene blewitti,
Mottled Wood-Owl,Mottled Wood-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,Yes,No,Mainland India,Forest & Plantation,Resident,NA,NA,NA,Mottled Wood Owl,Strix ocellata,
Brown Wood-Owl,Brown Wood-Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Brown Wood Owl,Strix leptogrammica,
Tawny Owl,Tawny Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Tawny Owl,Strix aluco,
Himalayan Owl,Himalayan Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Himalayan Owl,Strix nivicolum,
Long-eared Owl,Long-eared Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Passage Migrant & Localized Summer Migrant,NA,NA,NA,Long-eared Owl,Asio otus,
Short-eared Owl,Short-eared Owl,Low,Data Deficient,Uncertain,Moderate,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Grassland,Winter Migrant,NA,NA,NA,Short-eared Owl,Asio flammeus,
Boreal Owl,Boreal Owl,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Uncertain,NA,1,NA,Boreal Owl,Aegolius funereus,
Andaman Boobook,Andaman Boobook,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,Yes,Yes,No,Andaman Islands,Forest,Resident,NA,NA,1,Andaman Boobook,Ninox affinis,
Brown Boobook,Brown Boobook,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident,NA,NA,NA,Brown Boobook,Ninox scutulata,
Hume's Boobook,Hume's Boobook,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,Yes,Yes,No,Andaman Islands,Non-specialized,Resident,NA,NA,1,Hume's Boobook,Ninox obscura,
Malabar Trogon,Malabar Trogon,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest,Resident,NA,NA,NA,Malabar Trogon,Harpactes fasciatus,
Red-headed Trogon,Red-headed Trogon,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Red-headed Trogon,Harpactes erythrocephalus,
Ward's Trogon,Ward's Trogon,High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Invertebrate,No,No,Yes,Eastern Himalayas,Forest,Resident,NA,NA,NA,Ward's Trogon,Harpactes wardi,
Eurasian Hoopoe,Eurasian Hoopoe,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Within-India Migrant & Winter Migrant,NA,NA,NA,Eurasian Hoopoe,Upupa epops,
Great Hornbill,Great Hornbill,Moderate,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Great Hornbill,Buceros bicornis,
Brown Hornbill,Brown Hornbill,High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Austen's Brown Hornbill,Anorrhinus austeni,
Indian Gray Hornbill,Indian Gray Hornbill,Low,Uncertain,Uncertain,Very Large,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Indian Subcontinent,Non-specialized,Resident,NA,NA,NA,Indian Grey Hornbill,Ocyceros birostris,
Malabar Gray Hornbill,Malabar Gray Hornbill,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Forest & Plantation,Resident,NA,NA,NA,Malabar Grey Hornbill,Ocyceros griseus,
Malabar Pied-Hornbill,Malabar Pied-Hornbill,Moderate,Uncertain,Moderate Decline,Moderate,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident,NA,NA,NA,Malabar Pied Hornbill,Anthracoceros coronatus,
Oriental Pied-Hornbill,Oriental Pied-Hornbill,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest & Plantation,Resident,NA,NA,NA,Oriental Pied Hornbill,Anthracoceros albirostris,
Rufous-necked Hornbill,Rufous-necked Hornbill,High,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Rufous-necked Hornbill,Aceros nipalensis,
Wreathed Hornbill,Wreathed Hornbill,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Wreathed Hornbill,Rhyticeros undulatus,
Narcondam Hornbill,Narcondam Hornbill,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Andaman Islands,Forest,Resident,NA,NA,1,Narcondam Hornbill,Rhyticeros narcondami,
Blyth's Kingfisher,Blyth's Kingfisher,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Blyth's Kingfisher,Alcedo hercules,
Common Kingfisher,Common Kingfisher,Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Common Kingfisher,Alcedo atthis,
Blue-eared Kingfisher,Blue-eared Kingfisher,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Blue-eared Kingfisher,Alcedo meninting,
Black-backed Dwarf-Kingfisher,Black-backed Dwarf-Kingfisher,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Local Migrant & Summer Migrant,NA,NA,NA,Oriental Dwarf Kingfisher,Ceyx erithaca,
Rufous-backed Dwarf-Kingfisher,Rufous-backed Dwarf-Kingfisher,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Oriental Dwarf Kingfisher,Ceyx erithaca,
Brown-winged Kingfisher,Brown-winged Kingfisher,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Wetland,Resident,1,NA,NA,Brown-winged Kingfisher,Pelargopsis amauroptera,
Stork-billed Kingfisher,Stork-billed Kingfisher,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Stork-billed Kingfisher,Pelargopsis capensis,
Ruddy Kingfisher,Ruddy Kingfisher,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident & Summer Migrant,1,NA,NA,Ruddy Kingfisher,Halcyon coromanda,
White-throated Kingfisher,White-throated Kingfisher,Low,Stable,Moderate Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,White-throated Kingfisher,Halcyon smyrnensis,
Black-capped Kingfisher,Black-capped Kingfisher,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Black-capped Kingfisher,Halcyon pileata,
Collared Kingfisher,Collared Kingfisher,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Collared Kingfisher,Todiramphus chloris,
Crested Kingfisher,Crested Kingfisher,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Wetland,Resident & Altitudinal Migrant,NA,NA,NA,Crested Kingfisher,Megaceryle lugubris,
Pied Kingfisher,Pied Kingfisher,Moderate,Moderate Decline,Strong Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Pied Kingfisher,Ceryle rudis,
Blue-bearded Bee-eater,Blue-bearded Bee-eater,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Blue-bearded Bee-eater,Nyctyornis athertoni,
Asian Green Bee-eater,Asian Green Bee-eater,Low,Stable,Moderate Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Green Bee-eater,Merops orientalis,
Blue-throated Bee-eater,Blue-throated Bee-eater,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,Blue-throated Bee-eater,Merops viridis,
Blue-cheeked Bee-eater,Blue-cheeked Bee-eater,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Resident & Summer Migrant,NA,NA,NA,Blue-cheeked Bee-eater,Merops persicus,
Blue-tailed Bee-eater,Blue-tailed Bee-eater,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Within-India Migrant & Winter Migrant,NA,NA,NA,Blue-tailed Bee-eater,Merops philippinus,
European Bee-eater,European Bee-eater,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Winter Migrant & Localized Summer Migrant,NA,NA,NA,European Bee-eater,Merops apiaster,
Chestnut-headed Bee-eater,Chestnut-headed Bee-eater,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Within-India Migrant,NA,NA,NA,Chestnut-headed Bee-eater,Merops leschenaulti,
European Roller,European Roller,Low,Data Deficient,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Passage Migrant & Localized Summer Migrant,NA,NA,NA,European Roller,Coracias garrulus,
Indian Roller,Indian Roller,Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Open Habitat,Resident,NA,NA,NA,Indian Roller,Coracias benghalensis,
Indochinese Roller,Indochinese Roller,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Open Habitat,Resident & Local Migrant,NA,NA,NA,Indochinese Roller,Coracias affinis,
Dollarbird,Dollarbird,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Dollarbird,Eurystomus orientalis,
Malabar Barbet,Malabar Barbet,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Forest,Resident,NA,NA,NA,Malabar Barbet,Psilopogon malabaricus,
Coppersmith Barbet,Coppersmith Barbet,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest & Plantation,Resident,NA,NA,NA,Coppersmith Barbet,Psilopogon haemacephalus,
Blue-eared Barbet,Blue-eared Barbet,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Blue-eared Barbet,Psilopogon duvaucelii,
Great Barbet,Great Barbet,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Great Barbet,Psilopogon virens,
Lineated Barbet,Lineated Barbet,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest & Plantation,Resident,NA,NA,NA,Lineated Barbet,Psilopogon lineatus,
Brown-headed Barbet,Brown-headed Barbet,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Indian Subcontinent,Non-specialized,Resident,NA,NA,NA,Brown-headed Barbet,Psilopogon zeylanicus,
White-cheeked Barbet,White-cheeked Barbet,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Mainland India,Non-specialized,Resident,NA,NA,NA,White-cheeked Barbet,Psilopogon viridis,
Golden-throated Barbet,Golden-throated Barbet,Moderate,Data Deficient,Strong Decline,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Golden-throated Barbet,Psilopogon franklinii,
Blue-throated Barbet,Blue-throated Barbet,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest & Plantation,Resident,NA,NA,NA,Blue-throated Barbet,Psilopogon asiaticus,
Yellow-rumped Honeyguide,Yellow-rumped Honeyguide,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,Yes,Himalayas,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Yellow-rumped Honeyguide,Indicator xanthonotus,
Eurasian Wryneck,Eurasian Wryneck,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Eurasian Wryneck,Jynx torquilla,
Speckled Piculet,Speckled Piculet,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Speckled Piculet,Picumnus innominatus,
White-browed Piculet,White-browed Piculet,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,White-browed Piculet,Sasia ochracea,
Heart-spotted Woodpecker,Heart-spotted Woodpecker,High,Strong Decline,Strong Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Heart-spotted Woodpecker,Hemicircus canente,
Brown-capped Pygmy Woodpecker,Brown-capped Pygmy Woodpecker,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident,NA,NA,NA,Brown-capped Pygmy Woodpecker,Yungipicus nanus,
Gray-capped Pygmy Woodpecker,Gray-capped Pygmy Woodpecker,Moderate,Uncertain,Moderate Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Altitudinal Migrant,NA,NA,NA,Grey-capped Pygmy Woodpecker,Yungipicus canicapillus,
Yellow-crowned Woodpecker,Yellow-crowned Woodpecker,High,Strong Decline,Moderate Decline,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident,1,NA,NA,Yellow-crowned Woodpecker,Leiopicus mahrattensis,
Brown-fronted Woodpecker,Brown-fronted Woodpecker,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,Yes,Himalayas,Forest & Plantation,Resident & Altitudinal Migrant,NA,NA,NA,Brown-fronted Woodpecker,Dendrocoptes auriceps,
Rufous-bellied Woodpecker,Rufous-bellied Woodpecker,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Rufous-bellied Woodpecker,Dendrocopos hyperythrus,
Fulvous-breasted Woodpecker,Fulvous-breasted Woodpecker,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Fulvous-breasted Woodpecker,Dendrocopos macei,
Freckle-breasted Woodpecker,Freckle-breasted Woodpecker,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident,NA,NA,1,Freckle-breasted Woodpecker,Dendrocopos analis,
Stripe-breasted Woodpecker,Stripe-breasted Woodpecker,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Stripe-breasted Woodpecker,Dendrocopos atratus,
Darjeeling Woodpecker,Darjeeling Woodpecker,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Darjeeling Woodpecker,Dendrocopos darjellensis,
Great Spotted Woodpecker,Great Spotted Woodpecker,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,NA,1,NA,Great Spotted Woodpecker,Dendrocopos major,
Himalayan Woodpecker,Himalayan Woodpecker,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,Yes,Himalayas,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Himalayan Woodpecker,Dendrocopos himalayensis,
Sind Woodpecker,Sind Woodpecker,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident,NA,1,NA,Sind Woodpecker,Dendrocopos assimilis,
